fecha_corte,variante,vida_media,umbral_parcial,horizonte_dias,n_seleccionados,n_efectivo,n_dias_reales,retorno_total,retorno_anualizado,sortino_realizado,max_drawdown
2020-01-26,grid_vm126_um0.1,126.0,0.1,63,14,3.0,43,-0.10586337603588357,-0.6204086223498293,-2.259990025390989,-0.2504973533051308
2020-01-26,grid_vm126_um0.1,126.0,0.1,126,14,3.0,86,0.00229135741295458,0.006714210093773886,-0.16971824870570643,-0.2504973533051308
2020-01-26,grid_vm126_um0.2,126.0,0.2,63,15,3.32,43,-0.10069716232187341,-0.5901322070956302,-2.1588291854731505,-0.2443646065944218
2020-01-26,grid_vm126_um0.2,126.0,0.2,126,15,3.32,86,0.007151679053693708,0.02095608280849784,-0.10559707552116111,-0.2443646065944218
2020-01-26,grid_vm126_um0.3,126.0,0.3,63,16,3.48,43,-0.10323288316038073,-0.6049927106143242,-2.1980224281306397,-0.24492566256777454
2020-01-26,grid_vm126_um0.3,126.0,0.3,126,16,3.48,86,0.006637059186752678,0.019448126919321802,-0.11198004256574312,-0.24492566256777454
2020-01-26,grid_vm189_um0.1,189.0,0.1,63,14,2.93,43,-0.09714071838082132,-0.5692897914410924,-2.1644244199366516,-0.24166820487007531
2020-01-26,grid_vm189_um0.1,189.0,0.1,126,14,2.93,86,0.009366808091243302,0.027446926034805953,-0.078342839658905,-0.24166820487007531
2020-01-26,grid_vm189_um0.2,189.0,0.2,63,15,3.11,43,-0.09738211231874305,-0.5707044721935639,-2.135269376464709,-0.24132069487952013
2020-01-26,grid_vm189_um0.2,189.0,0.2,126,15,3.11,86,0.008762002813062143,0.025674705917344883,-0.08574774731301592,-0.24132069487952013
2020-01-26,grid_vm189_um0.3,189.0,0.3,63,16,3.0,43,-0.09297601838704968,-0.544882712407826,-2.10456894689562,-0.2358137352016365
2020-01-26,grid_vm189_um0.3,189.0,0.3,126,16,3.0,86,0.0122258524531729,0.035824590909297335,-0.03939308253190492,-0.2358137352016365
2020-01-26,grid_vm252_um0.1,252.0,0.1,63,14,2.84,43,-0.0920733666313149,-0.5395927532811943,-2.0691385623415717,-0.2408814096033634
2020-01-26,grid_vm252_um0.1,252.0,0.1,126,14,2.84,86,0.014513415696265623,0.042527683203010896,-0.00708805314283776,-0.2408814096033634
2020-01-26,grid_vm252_um0.2,252.0,0.2,63,15,3.0,43,-0.09568810302877317,-0.5607767898430428,-2.1226385676329547,-0.23975879204524247
2020-01-26,grid_vm252_um0.2,252.0,0.2,126,15,3.0,86,0.009581130543231155,0.028074940661561056,-0.07532576230730226,-0.23975879204524247
2020-01-26,grid_vm252_um0.3,252.0,0.3,63,16,3.07,43,-0.0985010184566547,-0.5772617825831856,-2.164425328824299,-0.2425713721050723
2020-01-26,grid_vm252_um0.3,252.0,0.3,126,16,3.07,86,0.008802816725633461,0.02579430017278642,-0.08551632989659996,-0.2425713721050723
2020-01-26,hrp_crudo_sin_purga,,,63,102,1.81,43,-0.0006373949193650707,-0.0037354306902325075,-0.8949020783222825,-0.0381234566222293
2020-01-26,hrp_crudo_sin_purga,,,126,102,1.81,86,0.019091098414815075,0.0559413581457372,0.2988908719585734,-0.0381234566222293
2020-01-26,equal_weight_universo_produccion,,,63,15,15.0,43,-0.163998388118829,-0.9611068326963932,-2.0894053826743484,-0.3421567356104874
2020-01-26,equal_weight_universo_produccion,,,126,15,15.0,86,-0.00488644291617335,-0.014318414126461444,-0.16320499062458152,-0.3421567356104874
2020-03-29,grid_vm63_um0.1,63.0,0.1,63,17,2.8,42,0.04978197073684955,0.2986918244210973,5.104193244316957,-0.011506454821511782
2020-03-29,grid_vm63_um0.1,63.0,0.1,126,17,2.8,86,0.09819382373611132,0.28773073931976806,5.445105388168485,-0.012977073552277757
2020-03-29,grid_vm63_um0.2,63.0,0.2,63,17,2.8,42,0.04978197073684955,0.2986918244210973,5.104193244316957,-0.011506454821511782
2020-03-29,grid_vm63_um0.2,63.0,0.2,126,17,2.8,86,0.09819382373611132,0.28773073931976806,5.445105388168485,-0.012977073552277757
2020-03-29,grid_vm63_um0.3,63.0,0.3,63,17,2.8,42,0.04978197073684955,0.2986918244210973,5.104193244316957,-0.011506454821511782
2020-03-29,grid_vm63_um0.3,63.0,0.3,126,17,2.8,86,0.09819382373611132,0.28773073931976806,5.445105388168485,-0.012977073552277757
2020-03-29,grid_vm126_um0.1,126.0,0.1,63,17,2.72,42,0.0480422098110311,0.2882532588661866,4.968002557358298,-0.011674153057659165
2020-03-29,grid_vm126_um0.1,126.0,0.1,126,17,2.72,86,0.09492133081346381,0.2781415740115451,5.330604283154769,-0.012623634075254624
2020-03-29,grid_vm126_um0.2,126.0,0.2,63,17,2.72,42,0.0480422098110311,0.2882532588661866,4.968002557358298,-0.011674153057659165
2020-03-29,grid_vm126_um0.2,126.0,0.2,126,17,2.72,86,0.09492133081346381,0.2781415740115451,5.330604283154769,-0.012623634075254624
2020-03-29,grid_vm126_um0.3,126.0,0.3,63,17,2.72,42,0.0480422098110311,0.2882532588661866,4.968002557358298,-0.011674153057659165
2020-03-29,grid_vm126_um0.3,126.0,0.3,126,17,2.72,86,0.09492133081346381,0.2781415740115451,5.330604283154769,-0.012623634075254624
2020-03-29,grid_vm189_um0.1,189.0,0.1,63,16,2.16,42,0.042150738615052384,0.2529044316903143,5.493462559632017,-0.009217526951209636
2020-03-29,grid_vm189_um0.1,189.0,0.1,126,16,2.16,86,0.08652432823252722,0.253536403658103,6.273216773093725,-0.013735066730816009
2020-03-29,grid_vm189_um0.2,189.0,0.2,63,17,2.19,42,0.04136449607934552,0.2481869764760731,5.387763261892205,-0.009437753282365183
2020-03-29,grid_vm189_um0.2,189.0,0.2,126,17,2.19,86,0.08566419555142267,0.2510160148716106,6.218634693813317,-0.01348803311107372
2020-03-29,grid_vm189_um0.3,189.0,0.3,63,17,2.19,42,0.04136449607934552,0.2481869764760731,5.387763261892205,-0.009437753282365183
2020-03-29,grid_vm189_um0.3,189.0,0.3,126,17,2.19,86,0.08566419555142267,0.2510160148716106,6.218634693813317,-0.01348803311107372
2020-03-29,grid_vm252_um0.1,252.0,0.1,63,16,2.14,42,0.041776918096363164,0.250661508578179,5.468053778193402,-0.009226524134919818
2020-03-29,grid_vm252_um0.1,252.0,0.1,126,16,2.14,86,0.08571647607291802,0.2511692089578528,6.244584481091918,-0.0137150161104575
2020-03-29,grid_vm252_um0.2,252.0,0.2,63,17,2.18,42,0.03987886214042639,0.23927317284255833,5.07994919521786,-0.00999727925578783
2020-03-29,grid_vm252_um0.2,252.0,0.2,126,17,2.18,86,0.08351332215644816,0.24471345562122018,5.978842948333758,-0.013604527532480377
2020-03-29,grid_vm252_um0.3,252.0,0.3,63,17,2.18,42,0.03987886214042639,0.23927317284255833,5.07994919521786,-0.00999727925578783
2020-03-29,grid_vm252_um0.3,252.0,0.3,126,17,2.18,86,0.08351332215644816,0.24471345562122018,5.978842948333758,-0.013604527532480377
2020-03-29,hrp_crudo_sin_purga,,,63,102,1.33,42,0.008462823662132442,0.050776941972794656,0.8123517472305011,-0.002150735061815661
2020-03-29,hrp_crudo_sin_purga,,,126,102,1.33,86,0.015489113612471529,0.04538670500398634,0.1806429663932151,-0.002173727721348501
2020-03-29,equal_weight_universo_produccion,,,63,17,17.0,42,0.15154179160234327,0.9092507496140596,5.553243496606468,-0.04682268207322222
2020-03-29,equal_weight_universo_produccion,,,126,17,17.0,86,0.25819351465736984,0.7565670429495023,4.785290370077443,-0.04682268207322222
2020-05-31,grid_vm63_um0.1,63.0,0.1,63,16,2.15,43,0.03814282354601512,0.22353468682780953,6.186582287588846,-0.012598720954060416
